URL,Titulo,Enlace,Copete,Seccion
https://www.eltribuno.com/salta,"
 YPF subió un 4% el precio del combustible y en Salta la nafta súper cuesta $218 el litro
",https://www.eltribuno.com//salta/nota/2023-5-17-10-24-0-ypf-remarco-un-4-el-precio-del-combustible-y-en-salta-la-nafta-super-cuesta-218-el-litro,"17 DE Mayo 2023 - 10:24
                                La suba corresponde al 4 % anunciado por Nación. El combustible Infinia Nafta pasó de 258 pesos el litro a 266.",Salta
https://www.eltribuno.com/salta,"
Victor Wembanyama, el ""unicornio"" francés que busca revolucionar la NBA con San Antonio Spurs
",https://www.eltribuno.com//salta/nota/2023-5-17-17-49-0-victor-wembanyama-el-unicornio-frances-que-busca-revolucionar-la-nba-con-san-antonio-spurs,"17 DE Mayo 2023 - 17:51
                                La franquicia que supo tener a Ginóbili se quedó con el primer puesto del Draft y todo indica que elegirán al joven de 2.21 metros.",Jóvenes estrellas
https://www.eltribuno.com/salta,"
Piden dos años y tres meses de prisión para Sebastián Villa por violencia de género
",https://www.eltribuno.com//salta/nota/2023-5-17-12-51-0-piden-dos-anos-y-tres-meses-de-prision-para-sebastian-villa-por-violencia-de-genero,"17 DE Mayo 2023 - 12:56
                                El pedido de pena fue seguido de cerca por el delantero Xeneize, que estaba presente en la sala.",Deportes
https://www.eltribuno.com/salta,"
Caos vehicular por una protesta en pleno microcentro de Salta
",https://www.eltribuno.com//salta/nota/2023-5-17-10-50-0-caos-vehicular-por-una-protesta-en-pleno-microcentro-de-salta,"17 DE Mayo 2023 - 10:54
                                Seguidores del Kila Gonza denunciaron fraude en las elecciones realizadas en el municipio de San Lorenzo donde Manuel Saravia reafirmó su mandato al obtener un triunfo por una amplia mayoría de votos. Peatones y automovilistas expresaron su malestar.",Salta
https://www.eltribuno.com/salta,"
Violento choque en la esquina de Aniceto Latorre y Maipú
",https://www.eltribuno.com//salta/nota/2023-5-17-11-26-0-violento-choque-en-la-esquina-de-aniceto-latorre-y-maipu,"17 DE Mayo 2023 - 11:26
                                El siniestro fue protagonizado por un Ford Escort y un Renault Clio.",policiales
https://www.eltribuno.com/salta,"
Por un documental de Netflix hallan a una adolescente que estaba desaparecida desde 2017
",https://www.eltribuno.com//salta/nota/2023-5-17-14-45-0-por-un-documental-de-netflix-encontraron-a-una-adolescente-que-estaba-desaparecida-desde-2017,"17 DE Mayo 2023 - 14:44
                                Kahyla Unbehaun había sido secuestrada por su mamá cuando tenía nueve años. Un hombre la reconoció en un local por haber visto un capítulo de “Unsolved mysteries”.",Cine y TV
https://www.eltribuno.com/salta,"
Espectacular vuelco de un camión en la ruta 51, a la altura de Cauchari
",https://www.eltribuno.com//salta/nota/2023-5-17-11-2-0-espectacular-vuelco-de-un-camion-en-la-ruta-51-a-la-altura-de-cauchari,"17 DE Mayo 2023 - 11:06
                                En menos de dos semanas se produjeron tres siniestros viales en el mismo lugar. Piden la pavimentación del tramo San Antonio de los Cobres - Cauchari.",policiales
https://www.eltribuno.com/salta,"
A través de ReCCUpero, CCU ya recicló más de 640.000 kilos  de residuos
",https://www.eltribuno.com//salta/nota/2023-5-17-9-48-0-a-traves-de-reccupero-ccu-ya-reciclo-mas-de-640-000-kilos-de-residuos,"17 DE Mayo 2023 - 12:36
                                ReCCUpero es la Iniciativa de economía circular de CCU que busca rescatar, valorizar y reutilizar envases de aluminio, vidrio, papel/cartón y plástico que se generan a partir de la producción de bebidas, para que vuelvan a estar en el ciclo de vida del producto y/o ser reutilizados por lasociedad.",Especial
https://www.eltribuno.com/salta,"
Se viene una puja entre los ediles por la presidencia
",https://www.eltribuno.com//salta/nota/2023-5-17-0-0-0-se-viene-una-puja-entre-los-ediles-por-la-presidencia,"17 DE Mayo 2023 - 09:44
                                Debilitado por falta de votos, Madile intentará retener la conducción.",elecciones 2023
https://www.eltribuno.com/salta,"
 El desafío de no ser mendigos sentados sobre bancos de oro 
",https://www.eltribuno.com//salta/nota/2023-5-6-19-33-0-el-desafio-de-no-ser-mendigos-sentados-sobre-bancos-de-oro,"6 DE Mayo 2023 - 19:32
                                Opinión. Por Ricardo N. Alonso. Doctor en Ciencias Geológicas.",Minería en Salta
https://www.eltribuno.com/salta,"
 Una actividad imprescindible y un marco legal muy preciso 
",https://www.eltribuno.com//salta/nota/2023-5-6-19-39-0-una-actividad-imprescindible-y-un-marco-legal-muy-preciso,"6 DE Mayo 2023 - 19:36
                                Opinión. Por María Cristina Garros Martínez.",Minería en Salta
https://www.eltribuno.com/salta,"
 Grupo AGV: 25 años de servicios mineros  
",https://www.eltribuno.com//salta/nota/2023-5-7-0-0-0-grupo-agv-25-anos-de-servicios-mineros,"6 DE Mayo 2023 - 19:42
                                La empresa cuenta con aproximadamente 800 empleados, gran parte de ellos trabajan asistiendo a las mineras.",Minería en Salta
https://www.eltribuno.com/salta,"
 Anular el debate y el control, un riesgo latente  en la actual configuración de poder 
",https://www.eltribuno.com//salta/nota/2023-5-16-2-26-0-lo-que-dejo-la-eleccion-el-riesgo-de-anular-el-debate-y-el-control,16 DE Mayo 2023 - 02:30,Salta
https://www.eltribuno.com/salta,"
 El triunfo en los municipios: una ""maniobra de pinzas"" confeccionada a medida tras la eliminación de las PASO 
",https://www.eltribuno.com//salta/nota/2023-5-16-1-58-0-el-triunfo-en-los-municipios-una-maniobra-de-pinzas-confeccionada-a-medida-tras-la-eliminacion-de-las-paso,16 DE Mayo 2023 - 02:03,elecciones 2023
